Count:           1	 Max Error: 1.375802e-04	 Average Error: 1.375802e-04	 Average Normalized Error: 2.314854e-05	 Observed Value: 5.943226e+00	 Expected Value: 5.943364e+00
Count:           2	 Max Error: 1.375802e-04	 Average Error: 7.421862e-05	 Average Normalized Error: 1.205175e-05	 Observed Value: 1.136902e+01	 Expected Value: 1.136903e+01
Count:           3	 Max Error: 3.747086e-04	 Average Error: 1.743819e-04	 Average Normalized Error: 1.372161e-05	 Observed Value: 2.196210e+01	 Expected Value: 2.196247e+01
Count:           4	 Max Error: 3.747086e-04	 Average Error: 1.333862e-04	 Average Normalized Error: 1.076124e-05	 Observed Value: 5.530875e+00	 Expected Value: 5.530886e+00
Count:           5	 Max Error: 3.747086e-04	 Average Error: 1.348272e-04	 Average Normalized Error: 1.212375e-05	 Observed Value: -7.999907e+00	 Expected Value: -8.000048e+00
Count:           6	 Max Error: 3.747086e-04	 Average Error: 1.543738e-04	 Average Normalized Error: 1.352991e-05	 Observed Value: 1.226136e+01	 Expected Value: 1.226161e+01
Count:           7	 Max Error: 9.129171e-04	 Average Error: 2.627371e-04	 Average Normalized Error: 1.504476e-05	 Observed Value: 3.782629e+01	 Expected Value: 3.782720e+01
Count:           8	 Max Error: 9.129171e-04	 Average Error: 2.407980e-04	 Average Normalized Error: 1.389130e-05	 Observed Value: 1.499447e+01	 Expected Value: 1.499456e+01
Count:           9	 Max Error: 9.129171e-04	 Average Error: 2.925851e-04	 Average Normalized Error: 1.621777e-05	 Observed Value: 2.029474e+01	 Expected Value: 2.029545e+01
Count:          10	 Max Error: 9.129171e-04	 Average Error: 2.737022e-04	 Average Normalized Error: 1.886441e-05	 Observed Value: -2.430688e+00	 Expected Value: -2.430792e+00
Count:          11	 Max Error: 9.129171e-04	 Average Error: 2.751570e-04	 Average Normalized Error: 1.798079e-05	 Observed Value: 3.168036e+01	 Expected Value: 3.168065e+01
Count:          12	 Max Error: 9.129171e-04	 Average Error: 2.987406e-04	 Average Normalized Error: 1.773047e-05	 Observed Value: 3.726727e+01	 Expected Value: 3.726782e+01
Count:          13	 Max Error: 9.129171e-04	 Average Error: 2.896018e-04	 Average Normalized Error: 4.272928e-05	 Observed Value: 5.248511e-01	 Expected Value: 5.250311e-01
Count:          14	 Max Error: 9.129171e-04	 Average Error: 2.953977e-04	 Average Normalized Error: 4.131978e-05	 Observed Value: 1.612150e+01	 Expected Value: 1.612187e+01
Count:          15	 Max Error: 9.129171e-04	 Average Error: 2.931741e-04	 Average Normalized Error: 3.940794e-05	 Observed Value: 2.072751e+01	 Expected Value: 2.072777e+01
Count:          16	 Max Error: 9.129171e-04	 Average Error: 2.973674e-04	 Average Normalized Error: 3.902450e-05	 Observed Value: 1.082731e+01	 Expected Value: 1.082767e+01
Count:          17	 Max Error: 9.129171e-04	 Average Error: 3.148058e-04	 Average Normalized Error: 3.814901e-05	 Observed Value: 2.459718e+01	 Expected Value: 2.459778e+01
Count:          18	 Max Error: 9.129171e-04	 Average Error: 3.141735e-04	 Average Normalized Error: 4.061460e-05	 Observed Value: -3.676244e+00	 Expected Value: -3.676547e+00
Count:          19	 Max Error: 9.129171e-04	 Average Error: 3.432799e-04	 Average Normalized Error: 3.951654e-05	 Observed Value: 4.390450e+01	 Expected Value: 4.390537e+01
Count:          20	 Max Error: 9.129171e-04	 Average Error: 3.656841e-04	 Average Normalized Error: 3.910974e-05	 Observed Value: 2.521745e+01	 Expected Value: 2.521824e+01
